Entity,Code,Year,Deaths,Total_Deaths,Relative_Death_Percentage
Wildfire,,2012,22,9608,0.2289758534554538
Drought,,2013,0,21847,0.0
Dry mass movement,,2013,46,21847,0.2105552249736806
Earthquake,,2013,1120,21847,5.12656199935918
Extreme temperature,,2013,2035,21847,9.314780061335652
Extreme weather,,2013,8598,21847,39.355517920080565
Flood,,2013,9778,21847,44.756717169405405
Volcanic activity,,2013,0,21847,0.0
Wet mass movement,,2013,235,21847,1.075662562365542
Wildfire,,2013,35,21847,0.16020506247997437
Drought,,2014,0,7975,0.0
Earthquake,,2014,774,7975,9.705329153605016
Extreme temperature,,2014,1168,7975,14.64576802507837
Extreme weather,,2014,1432,7975,17.956112852664578
Flood,,2014,3523,7975,44.175548589341695
Volcanic activity,,2014,102,7975,1.2789968652037618
Wet mass movement,,2014,960,7975,12.037617554858935
Wildfire,,2014,16,7975,0.2006269592476489
Drought,,2015,35,22879,0.15297871410463743
Dry mass movement,,2015,13,22879,0.05682066523886533
Earthquake,,2015,9550,22879,41.74133484855107
Extreme temperature,,2015,7425,22879,32.453341492198085
Extreme weather,,2015,1288,22879,5.629616679050658
Flood,,2015,3484,22879,15.22793828401591
Volcanic activity,,2015,0,22879,0.0
Wet mass movement,,2015,1006,22879,4.3970453254075785
Wildfire,,2015,78,22879,0.340923991433192
Drought,,2016,0,8395,0.0
Earthquake,,2016,1311,8395,15.616438356164384
Extreme temperature,,2016,490,8395,5.836807623585467
Extreme weather,,2016,1759,8395,20.952948183442523
Flood,,2016,4438,8395,52.864800476474095
Volcanic activity,,2016,0,8395,0.0
Wet mass movement,,2016,357,8395,4.252531268612269
Wildfire,,2016,40,8395,0.4764740917212627
Drought,,2017,0,9761,0.0
Dry mass movement,,2017,8,9761,0.08195881569511321
Earthquake,,2017,1012,9761,10.36779018543182
Extreme temperature,,2017,359,9761,3.677901854318205
Extreme weather,,2017,2543,9761,26.05265853908411
Flood,,2017,3349,9761,34.310009220366766
Volcanic activity,,2017,0,9761,0.0
Wet mass movement,,2017,2312,9761,23.686097735887714
Wildfire,,2017,178,9761,1.8235836492162687
Drought,,2018,0,11665,0.0
Dry mass movement,,2018,17,11665,0.14573510501500214
Earthquake,,2018,5061,11665,43.386198028289755
Extreme temperature,,2018,597,11665,5.117873981997429
Extreme weather,,2018,1726,11665,14.796399485640807
Flood,,2018,2881,11665,24.697813973424775
Volcanic activity,,2018,914,11665,7.835405057865409
Wet mass movement,,2018,248,11665,2.126018002571796
Wildfire,,2018,221,11665,1.8945563651950277
Drought,,2019,79,11923,0.6625849199027091
Earthquake,,2019,261,11923,2.189046380944393
Extreme temperature,,2019,3125,11923,26.209846515138807
Extreme weather,,2019,2514,11923,21.085297324498868
Flood,,2019,5074,11923,42.55640358970058
Volcanic activity,,2019,21,11923,0.17613016858173278
Wet mass movement,,2019,744,11923,6.240040258324248
Wildfire,,2019,105,11923,0.8806508429086639
Drought,,2020,47,15632,0.3006653019447288
Earthquake,,2020,196,15632,1.2538382804503583
Extreme temperature,,2020,6633,15632,42.43219037871034
Extreme weather,,2020,1758,15632,11.246161719549642
Flood,,2020,6397,15632,40.92246673490276
Volcanic activity,,2020,1,15632,0.0063971340839304
Wet mass movement,,2020,514,15632,3.2881269191402254
Wildfire,,2020,86,15632,0.5501535312180142
Drought,,2021,4,10525,0.03800475059382422
Earthquake,,2021,2742,10525,26.052256532066508
Extreme temperature,,2021,1044,10525,9.919239904988125
Extreme weather,,2021,1893,10525,17.985748218527316
Flood,,2021,4137,10525,39.30641330166271
Glacial lake outburst flood,,2021,250,10525,2.375296912114014
Volcanic activity,,2021,104,10525,0.98812351543943
Wet mass movement,,2021,224,10525,2.1282660332541568
Wildfire,,2021,127,10525,1.2066508313539193
Drought,,2022,2601,76100,3.417871222076215
Earthquake,,2022,1626,76100,2.1366622864651776
Extreme temperature,,2022,61782,76100,81.18528252299606
Extreme weather,,2022,1583,76100,2.0801576872536134
Flood,,2022,8011,76100,10.526938239159001
Glacial lake outburst flood,,2022,11,76100,0.014454664914586073
Volcanic activity,,2022,6,76100,0.00788436268068331
Wet mass movement,,2022,403,76100,0.5295663600525624
Wildfire,,2022,77,76100,0.1011826544021025
Drought,,2023,247,86517,0.28549302449229635
Earthquake,,2023,62451,86517,72.18350150837408
Extreme temperature,,2023,406,86517,0.4692719349954344
Extreme weather,,2023,14678,86517,16.965451876509817
Flood,,2023,7617,86517,8.804050071084296
Glacial lake outburst flood,,2023,178,86517,0.20573991238716088
Volcanic activity,,2023,23,86517,0.026584370701711803
Wet mass movement,,2023,654,86517,0.7559208016921529
Wildfire,,2023,263,86517,0.30398649976305236
Drought,,2024,0,1520,0.0
Earthquake,,2024,313,1520,20.592105263157894
Extreme temperature,,2024,35,1520,2.302631578947368
Extreme weather,,2024,208,1520,13.684210526315791
Flood,,2024,212,1520,13.94736842105263
Volcanic activity,,2024,0,1520,0.0
Wet mass movement,,2024,315,1520,20.723684210526315
Wildfire,,2024,437,1520,28.749999999999996
